"","date","GDP_LT","GVA_LT","K_LT","KBR_LT","KBS_LT","KDW_LT","KIP_LT","KTC_LT","obsvalue","KTR_LT","KWO_LT","LCe_LT","LEMPLh_LT","LEMPLp_LT","LHC_LT","LPh_LT","LPp_LT"
"62",2010-04-01,6995.637353,5.34529413727611,1139.225511,14.494878,549.27337,145.486917,131.682057,694.760287,68.009531,298.288288,140.402012,2585.5292690481,515039.607361,1100.911478,5.52664068611112,12.0592455642438,5667.51784624039
"63",2010-07-01,6990.815497,5.57117172196889,1263.346206,15.532099,566.416761,139.740292,131.628021,706.157053,100.797702,410.029034,190.261352,2578.55915904897,531348.09781,1111.573126,5.39431133152361,11.6862201510694,5614.60274993442
"64",2010-10-01,7164.484305,5.13826092795012,1295.432224,16.088529,599.513931,139.397157,130.076634,738.911088,121.301418,410.355973,177.119656,2550.88137489308,524368.719492,1131.262483,5.50321994949591,12.1766257988376,5665.45660409244
"65",2011-01-01,7300.928584,5.33295428885836,1389.685257,15.654402,626.973153,147.764288,135.183219,774.737441,149.277566,464.110196,206.093108,2678.97412306491,517226.336591,1117.85611,5.78993639755062,12.5086143275594,5826.55812542739
"66",2011-04-01,7417.063823,5.51886673519588,1440.829195,15.393123,646.641754,154.279043,136.579098,800.920797,153.698639,487.936177,212.234865,2685.64235020255,525205.329262,1131.691003,5.78691250005163,12.5860529488389,5876.4804164406
"67",2011-07-01,7455.443015,6.07109544695578,1460.586604,14.403743,700.793157,157.257022,135.924264,858.050179,148.887436,452.208418,196.317904,2787.01793849187,511493.254079,1112.583775,6.06223232520107,13.0005847660904,5995.61968362729
"68",2011-10-01,7547.161641,6.22960217969382,1500.818195,12.460603,716.438823,158.712895,136.425173,875.151718,139.022487,476.780701,221.354478,2829.54706869411,517200.499711,1119.348858,6.12383453181075,12.9644668020475,6023.64228801566
"69",2012-01-01,7600.193662,5.60537254898063,1441.515183,7.185424,665.120783,157.982264,135.957806,823.103047,141.978397,475.268906,217.58721,2815.13459566723,525566.538132,1141.408993,6.11382139247414,12.892895596942,5947.36927660356
"70",2012-04-01,7611.098868,5.44357862461606,1426.843573,5.476208,653.470789,159.067651,137.880611,812.53844,130.586202,470.948314,215.164491,2812.03578616534,525243.199561,1142.369282,6.11599218168825,12.8168439706437,5921.94092518404
"71",2012-07-01,7801.756624,5.1979188389045,1460.101746,5.750396,643.296998,162.629398,143.455425,805.926396,178.881534,504.969528,211.816947,2852.61228269704,523116.97156,1135.214827,6.19044675484893,13.1841874770179,6101.33143486801
"72",2012-10-01,7842.942026,5.21444770917455,1460.098469,7.401627,641.012191,168.926524,138.569149,809.938715,167.913265,504.188977,224.640925,2938.7407552573,520293.66142,1124.534677,6.35163587613325,13.3443325942017,6196.11780400318
"73",2013-01-01,7859.441792,5.41740555861042,1502.897795,11.99972,665.036497,184.516253,131.653905,849.55275,160.888428,509.691419,250.733485,2980.76173071914,524607.310145,1131.661673,6.42997865597346,13.2353362570617,6130.27304924313
"74",2013-04-01,7930.889862,5.88582364609949,1601.087878,14.006274,730.762297,184.881581,132.11378,915.643878,182.533027,539.323945,246.929777,2981.28783465853,521191.842724,1140.222396,6.52222632693838,13.313168025883,6120.13267610195
